% Model:              EDL.mph
% Version:            COMSOL 4.4.0.248
% Date:               Nov 6 2016, 17:30
% Dimension:          1
% Nodes:              1448
% Expressions:        1
% Description:        Line graph
% r                       Height
5.7595941738857555E-9     -0.07043630461579645
5.912520335537139E-9      -0.07066888942253736
6.065446497188521E-9      -0.0709085903166758
6.234388958943705E-9      -0.07118186842702275
6.403331420698887E-9      -0.07146450572731726
6.57227388245407E-9       -0.0717565022175594
6.7412163442092536E-9     -0.07205785789774916
6.910158805964436E-9      -0.07236857276788645
7.096794990760213E-9      -0.0727230392691635
7.283431175555989E-9      -0.07309006948852943
7.470067360351766E-9      -0.07346966342598428
7.656703545147541E-9      -0.07386182108152803
7.843339729943318E-9      -0.07426654245516068
8.049522589119894E-9      -0.07472880584717662
8.255705448296469E-9      -0.0752083840695886
8.461888307473043E-9      -0.07570527712239669
8.66807116664962E-9       -0.07621948500560086
8.874254025826196E-9      -0.07675100771920107
9.099403220660955E-9      -0.07735214787837631
9.324552415495714E-9      -0.07797738743695896
9.549701610330474E-9      -0.07862672639494907
9.774850805165232E-9      -0.07930016475234664
9.999999999999992E-9      -0.0799977025091516
1.0225149194834752E-8     -0.08072103152096276
1.045029838966951E-8      -0.0814734046353654
1.067544758450427E-8      -0.08225482185235958
1.0900596779339028E-8     -0.08306528317194528
1.1125745974173788E-8     -0.08390478859412248
1.1331928833350368E-8     -0.08470145956966627
1.1538111692526947E-8     -0.08552810283324418
1.1744294551703525E-8     -0.08638471838485622
1.1950477410880106E-8     -0.08727130622450244
1.2156660270056686E-8     -0.08818786635218276
1.2343296454852464E-8     -0.08904605304448744
1.252993263964824E-8      -0.08993481181696107
1.2716568824444016E-8     -0.0908541426696037
1.2903205009239795E-8     -0.09180404560241534
1.308984119403557E-8      -0.09278452061539594
1.3258783655790755E-8     -0.09370123917715562
1.3427726117545937E-8     -0.09464942467050096
1.359666857930112E-8      -0.09562907709543197
1.3765611041056303E-8     -0.09664019645194871
1.3934553502811485E-8     -0.09768278274005107
