% Model:              EDL.mph
% Version:            COMSOL 4.4.0.248
% Date:               Nov 6 2016, 17:30
% Dimension:          1
% Nodes:              1448
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         0.07253916474624048
4.189289780832979E-11     0.0725353499106813
8.378579561665958E-11     0.07253153507512211
1.2567869342498936E-10    0.07252772023956293
1.6757159123331916E-10    0.07252390540400375
2.0946448904164892E-10    0.07252009056844456
2.5574492353830083E-10    0.07250939166505406
3.020253580349527E-10     0.07249869276166357
3.483057925316046E-10     0.07248799385827306
3.945862270282565E-10     0.07247729495488257
4.4086666152490835E-10    0.07246659605149207
4.919941500333006E-10     0.07244643989415347
5.431216385416927E-10     0.07242628373681488
5.942491270500851E-10     0.07240612757947629
6.453766155584772E-10     0.0723859714221377
6.965041040668695E-10     0.0723658152647991
7.529862889122908E-10     0.07233314887446564
8.094684737577123E-10     0.07230048248413218
8.659506586031335E-10     0.07226781609379872
9.22432843448555E-10      0.07223514970346526
9.789150282939763E-10     0.0722024833131318
1.0413127193936645E-9     0.07215379108880741
1.1037104104933525E-9     0.072105098864483
1.1661081015930407E-9     0.07205640664015861
1.228505792692729E-9      0.07200771441583423
1.290903483792417E-9      0.07195902219150983
1.3598362248412454E-9     0.07188990754011305
1.4287689658900735E-9     0.07182079288871626
1.4977017069389018E-9     0.07175167823731948
1.5666344479877299E-9     0.0716825635859227
1.6355671890365582E-9     0.07161344893452593
1.7117194107681762E-9     0.07151856069206958
1.7878716324997942E-9     0.0714236724496132
1.864023854231412E-9      0.07132878420715685
1.94017607596303E-9       0.07123389596470049
2.016328297694648E-9      0.07113900772224413
2.1004561126252937E-9     0.07101174450914627
2.184583927555939E-9      0.0708844812960484
2.268711742486584E-9      0.07075721808295053
2.3528395574172295E-9     0.07062995486985266
2.4369673723478746E-9     0.0705026916567548
2.529906082027975E-9      0.07033504866257863
2.622844791708075E-9      0.07016740566840246
2.715783501388175E-9      0.06999976267422629
2.808722211068275E-9      0.06983211968005013
2.901660920748375E-9      0.06966447668587396
3.004333310003815E-9      0.06944684623607414
3.107005699259255E-9      0.06922921578627432
3.209678088514695E-9      0.0690115853364745
3.3123504777701346E-9     0.0687939548866747
3.4150228670255746E-9     0.06857632443687488
3.5284483659646214E-9     0.06829726151529429
3.641873864903668E-9      0.06801819859371369
3.755299363842715E-9      0.0677391356721331
3.868724862781761E-9      0.0674600727505525
3.982150361720808E-9      0.0671810098289719
4.107455167620838E-9      0.0668270501050753
4.2327599735208685E-9     0.06647309038117868
4.358064779420899E-9      0.06611913065728207
4.48336958532093E-9       0.06576517093338546
4.60867439122096E-9       0.06541121120948885
4.74710265076309E-9       0.06496675222758869
4.885530910305219E-9      0.0645222932456885
5.023959169847349E-9      0.06407783426378834
5.162387429389479E-9      0.06363337528188817
5.3008156889316085E-9     0.06318891629998799
5.453741850582991E-9      0.06263636407949648
5.606668012234374E-9      0.062083811859004946
5.7595941738857555E-9     0.06153125963851343
5.912520335537139E-9      0.0609787074180219
6.065446497188521E-9      0.06042615519753038
6.234388958943705E-9      0.059746322511344395
6.403331420698887E-9      0.05906648982515839
6.57227388245407E-9       0.058386657138972405
6.7412163442092536E-9     0.05770682445278641
6.910158805964436E-9      0.057026991766600414
7.096794990760213E-9      0.0561999659917322
7.283431175555989E-9      0.05537294021686398
7.470067360351766E-9      0.05454591444199576
7.656703545147541E-9      0.05371888866712754
7.843339729943318E-9      0.05289186289225933
8.049522589119894E-9      0.05189912733919488
8.255705448296469E-9      0.05090639178613043
8.461888307473043E-9      0.04991365623306597
8.66807116664962E-9       0.04892092068000153
8.874254025826196E-9      0.04792818512693707
9.099403220660955E-9      0.046769675188696486
9.324552415495714E-9      0.04561116525045589
9.549701610330474E-9      0.0444526553122153
9.774850805165232E-9      0.043294145373974705
9.999999999999992E-9      0.04213563543573412
1.0225149194834752E-8     0.040925688730941184
1.045029838966951E-8      0.039715742026148255
1.067544758450427E-8      0.03850579532135532
1.0900596779339028E-8     0.03729584861656239
1.1125745974173788E-8     0.036085901911769455
1.1331928833350368E-8     0.03495855559524548
1.1538111692526947E-8     0.0338312092787215
1.1744294551703525E-8     0.032703862962197516
1.1950477410880106E-8     0.03157651664567354
1.2156660270056686E-8     0.03044917032914956
1.2343296454852464E-8     0.029434942897022656
1.252993263964824E-8      0.02842071546489575
1.2716568824444016E-8     0.027406488032768843
1.2903205009239795E-8     0.026392260600641936
1.308984119403557E-8      0.025378033168515033
1.3258783655790755E-8     0.024482762382113388
1.3427726117545937E-8     0.023587491595711746
1.359666857930112E-8      0.022692220809310097
1.3765611041056303E-8     0.021796950022908455
1.3934553502811485E-8     0.02090167923650681
1.4087479664462868E-8     0.02012408454162643
1.4240405826114248E-8     0.01934648984674605
1.439333198776563E-8      0.018568895151865668
1.4546258149417012E-8     0.017791300456985286
1.4699184311068394E-8     0.017013705762104907
1.4837612570610523E-8     0.016347930072965176
1.4976040830152653E-8     0.015682154383825444
1.511446908969478E-8      0.015016378694685712
1.525289734923691E-8      0.014350603005545979
1.539132560877904E-8      0.013684827316406247
1.5516630414679068E-8     0.013122107688261088
1.5641935220579097E-8     0.01255938806011593
1.576724002647913E-8      0.011996668431970772
1.5892544832379157E-8     0.011433948803825615
1.6017849638279186E-8     0.010871229175680456
1.6131275137218235E-8     0.010401359190807518
1.6244700636157284E-8     0.00993148920593458
1.635812613509633E-8      0.009461619221061642
1.6471551634035378E-8     0.008991749236188703
1.6584977132974427E-8     0.008521879251315765
1.6687649522229866E-8     0.008134137978419012
1.6790321911485305E-8     0.007746396705522258
1.6892994300740748E-8     0.007358655432625504
1.6995666689996187E-8     0.006970914159728751
1.7098339079251626E-8     0.006583172886831998
1.7191277788931725E-8     0.006266961279421597
1.7284216498611824E-8     0.005950749672011195
1.737715520829192E-8      0.005634538064600793
1.747009391797202E-8      0.005318326457190391
1.756303262765212E-8      0.0050021148497799905
1.7647160442582766E-8     0.00474737085088277
1.773128825751341E-8      0.00449262685198555
1.7815416072444053E-8     0.00423788285308833
1.7899543887374696E-8     0.003983138854191111
1.7983671702305343E-8     0.0037283948552938903
1.805982392403696E-8      0.0035258831188286557
1.8135976145768583E-8     0.0033233713823634208
1.8212128367500202E-8     0.0031208596458981858
1.8288280589231824E-8     0.0029183479094329508
1.8364432810963442E-8     0.0027158361729677162
1.8433365552012273E-8     0.0025572889169742557
1.8502298293061096E-8     0.0023987416609807946
1.857123103410993E-8      0.002240194404987334
1.8640163775158753E-8     0.0020816471489938735
1.8709096516207583E-8     0.0019230998930004127
1.8771494207307272E-8     0.001801209299367229
1.883389189840696E-8      0.001679318705734045
1.8896289589506644E-8     0.0015574281121008612
1.8958687280606333E-8     0.001435537518467677
1.9021084971706022E-8     0.0013136469248344932
1.9077567156551446E-8     0.001222029408514917
1.9134049341396865E-8     0.0011304118921953406
1.9190531526242286E-8     0.0010387943758757643
1.9247013711087707E-8     9.47176859556188E-4
1.930349589593313E-8      8.555593432366118E-4
1.9354623384441523E-8     7.886941484686003E-4
1.9405750872949914E-8     7.218289537005888E-4
1.9456878361458308E-8     6.549637589325773E-4
1.95080058499667E-8       5.880985641645658E-4
1.9559133338475093E-8     5.212333693965543E-4
1.9605413772971743E-8     4.7446282462533003E-4
1.9651694207468397E-8     4.276922798541058E-4
1.9697974641965047E-8     3.809217350828815E-4
1.9744255076461697E-8     3.3415119031165725E-4
1.9790535510958347E-8     2.8738064554043296E-4
1.9832428408766678E-8     2.5656744424707687E-4
1.987432130657501E-8      2.2575424295372067E-4
1.991621420438334E-8      1.9494104166036455E-4
1.995810710219167E-8      1.6412784036700837E-4
2.0E-8                    1.3331463907365225E-4
0                         0.3733317107857858
4.189289780832979E-11     0.3733184751028453
8.378579561665958E-11     0.37330523941990484
1.2567869342498936E-10    0.3732920037369643
1.6757159123331916E-10    0.3732787680540238
2.0946448904164892E-10    0.37326553237108334
2.5574492353830083E-10    0.3732284095190235
3.020253580349527E-10     0.37319128666696355
3.483057925316046E-10     0.3731541638149036
3.945862270282565E-10     0.3731170409628437
4.4086666152490835E-10    0.37307991811078384
4.919941500333006E-10     0.37300996449150553
5.431216385416927E-10     0.3729400108722273
5.942491270500851E-10     0.37287005725294897
6.453766155584772E-10     0.3728001036336707
6.965041040668695E-10     0.3727301500143924
7.529862889122908E-10     0.3726167273785926
8.094684737577123E-10     0.37250330474279275
8.659506586031335E-10     0.3723898821069929
9.22432843448555E-10      0.3722764594711931
9.789150282939763E-10     0.37216303683539326
1.0413127193936645E-9     0.37199385340248053
1.1037104104933525E-9     0.3718246699695677
1.1661081015930407E-9     0.371655486536655
1.228505792692729E-9      0.3714863031037422
1.290903483792417E-9      0.3713171196708294
1.3598362248412454E-9     0.37107673617187736
1.4287689658900735E-9     0.37083635267292525
1.4977017069389018E-9     0.37059596917397314
1.5666344479877299E-9     0.370355585675021
1.6355671890365582E-9     0.37011520217606897
1.7117194107681762E-9     0.36978471376659167
1.7878716324997942E-9     0.3694542253571143
1.864023854231412E-9      0.369123736947637
1.94017607596303E-9       0.3687932485381597
2.016328297694648E-9      0.36846276012868234
2.1004561126252937E-9     0.3680186624485634
2.184583927555939E-9      0.3675745647684444
2.268711742486584E-9      0.36713046708832553
2.3528395574172295E-9     0.36668636940820654
2.4369673723478746E-9     0.3662422717280876
2.529906082027975E-9      0.36565576261081406
2.622844791708075E-9      0.3650692534935405
2.715783501388175E-9      0.36448274437626693
2.808722211068275E-9      0.3638962352589934
2.901660920748375E-9      0.36330972614171986
3.004333310003815E-9      0.3625457533274176
3.107005699259255E-9      0.3617817805131153
3.209678088514695E-9      0.36101780769881303
3.3123504777701346E-9     0.3602538348845108
3.4150228670255746E-9     0.3594898620702085
3.5284483659646214E-9     0.3585059009733526
3.641873864903668E-9      0.35752193987649666
3.755299363842715E-9      0.3565379787796407
3.868724862781761E-9      0.3555540176827848
3.982150361720808E-9      0.3545700565859289
4.107455167620838E-9      0.3533148530658359
4.2327599735208685E-9     0.3520596495457428
