% Model:              EDL.mph
% Version:            COMSOL 4.4.0.248
% Date:               Nov 6 2016, 17:30
% Dimension:          1
% Nodes:              1448
% Expressions:        1
% Description:        Line graph
% r                       Height
0                         3.507205340879493
4.189289780832979E-11     3.5073976208942446
8.378579561665958E-11     3.5075899009089953
1.2567869342498936E-10    3.507782180923746
1.6757159123331916E-10    3.5079744609384975
2.0946448904164892E-10    3.508166740953248
2.5574492353830083E-10    3.508706502920726
3.020253580349527E-10     3.509246264888202
3.483057925316046E-10     3.509786026855679
3.945862270282565E-10     3.5103257888231565
4.4086666152490835E-10    3.510865550790633
4.919941500333006E-10     3.5118845091015407
5.431216385416927E-10     3.5129034674124475
5.942491270500851E-10     3.5139224257233552
6.453766155584772E-10     3.5149413840342625
6.965041040668695E-10     3.5159603423451697
7.529862889122908E-10     3.5176176465450855
8.094684737577123E-10     3.519274950745001
8.659506586031335E-10     3.5209322549449165
9.22432843448555E-10      3.522589559144832
9.789150282939763E-10     3.524246863344748
1.0413127193936645E-9     3.526730864594754
1.1037104104933525E-9     3.5292148658447604
1.1661081015930407E-9     3.5316988670947667
1.228505792692729E-9      3.5341828683447734
1.290903483792417E-9      3.5366668695947796
1.3598362248412454E-9     3.5402210277497366
1.4287689658900735E-9     3.5437751859046935
1.4977017069389018E-9     3.5473293440596505
1.5666344479877299E-9     3.550883502214607
1.6355671890365582E-9     3.5544376603695644
1.7117194107681762E-9     3.559372034839162
1.7878716324997942E-9     3.564306409308759
1.864023854231412E-9      3.569240783778356
1.94017607596303E-9       3.5741751582479533
2.016328297694648E-9      3.5791095327175504
2.1004561126252937E-9     3.58582925210218
2.184583927555939E-9      3.592548971486809
2.268711742486584E-9      3.5992686908714377
2.3528395574172295E-9     3.605988410256067
2.4369673723478746E-9     3.612708129640696
2.529906082027975E-9      3.6217430737929064
2.622844791708075E-9      3.6307780179451155
2.715783501388175E-9      3.639812962097326
2.808722211068275E-9      3.6488479062495354
2.901660920748375E-9      3.6578828504017453
3.004333310003815E-9      3.6699338427277324
3.107005699259255E-9      3.6819848350537203
3.209678088514695E-9      3.6940358273797074
3.3123504777701346E-9     3.7060868197056953
3.4150228670255746E-9     3.7181378120316824
3.5284483659646214E-9     3.7341490356822558
3.641873864903668E-9      3.7501602593328283
3.755299363842715E-9      3.766171482983401
3.868724862781761E-9      3.7821827066339746
3.982150361720808E-9      3.798193930284547
4.107455167620838E-9      3.819463556307777
4.2327599735208685E-9     3.8407331823310056
4.358064779420899E-9      3.8620028083542355
4.48336958532093E-9       3.8832724343774645
4.60867439122096E-9       3.904542060400694
4.74710265076309E-9       3.9329021479525075
4.885530910305219E-9      3.9612622355043223
5.023959169847349E-9      3.989622323056135
5.162387429389479E-9      4.017982410607949
5.3008156889316085E-9     4.046342498159763
5.453741850582991E-9      4.084448754269675
5.606668012234374E-9      4.122555010379586
5.7595941738857555E-9     4.160661266489498
5.912520335537139E-9      4.198767522599411
6.065446497188521E-9      4.236873778709322
6.234388958943705E-9      4.288721795905896
6.403331420698887E-9      4.340569813102469
6.57227388245407E-9       4.392417830299044
6.7412163442092536E-9     4.444265847495617
6.910158805964436E-9      4.496113864692192
7.096794990760213E-9      4.5680213645383345
7.283431175555989E-9      4.639928864384478
7.470067360351766E-9      4.71183636423062
7.656703545147541E-9      4.783743864076763
7.843339729943318E-9      4.855651363922906
8.049522589119894E-9      4.9581244080749665
8.255705448296469E-9      5.060597452227027
8.461888307473043E-9      5.163070496379086
8.66807116664962E-9       5.265543540531146
8.874254025826196E-9      5.368016584683207
9.099403220660955E-9      5.517799405404301
9.324552415495714E-9      5.667582226125395
9.549701610330474E-9      5.817365046846491
9.774850805165232E-9      5.967147867567585
9.999999999999992E-9      6.116930688288679
1.0225149194834752E-8     6.32415814682067
1.045029838966951E-8      6.531385605352661
1.067544758450427E-8      6.738613063884651
1.0900596779339028E-8     6.945840522416643
1.1125745974173788E-8     7.1530679809486335
1.1331928833350368E-8     7.419993477714592
1.1538111692526947E-8     7.68691897448055
1.1744294551703525E-8     7.95384447124651
1.1950477410880106E-8     8.220769968012469
1.2156660270056686E-8     8.487695464778428
1.2343296454852464E-8     8.828338950114384
1.252993263964824E-8      9.16898243545034
1.2716568824444016E-8     9.509625920786295
1.2903205009239795E-8     9.850269406122251
1.308984119403557E-8      10.190912891458208
1.3258783655790755E-8     10.628464126437086
1.3427726117545937E-8     11.066015361415962
1.359666857930112E-8      11.50356659639484
1.3765611041056303E-8     11.941117831373719
1.3934553502811485E-8     12.378669066352595
1.4087479664462868E-8     12.944906578019578
1.4240405826114248E-8     13.511144089686558
1.439333198776563E-8      14.07738160135354
1.4546258149417012E-8     14.643619113020524
1.4699184311068394E-8     15.209856624687506
1.4837612570610523E-8     15.949443619315433
1.4976040830152653E-8     16.68903061394336
1.511446908969478E-8      17.428617608571287
1.525289734923691E-8      18.16820460319921
1.539132560877904E-8      18.90779159782714
1.5516630414679068E-8     19.884559975441142
1.5641935220579097E-8     20.861328353055146
1.576724002647913E-8      21.83809673066915
1.5892544832379157E-8     22.81486510828315
1.6017849638279186E-8     23.791633485897155
1.6131275137218235E-8     25.099828411946856
1.6244700636157284E-8     26.408023337996557
1.635812613509633E-8      27.716218264046258
1.6471551634035378E-8     29.02441319009596
1.6584977132974427E-8     30.33260811614566
1.6687649522229866E-8     32.113760049404306
1.6790321911485305E-8     33.89491198266294
1.6892994300740748E-8     35.676063915921574
1.6995666689996187E-8     37.457215849180216
1.7098339079251626E-8     39.23836778243886
1.7191277788931725E-8     41.710635907265335
1.7284216498611824E-8     44.18290403209181
1.737715520829192E-8      46.65517215691828
1.747009391797202E-8      49.127440281744754
1.756303262765212E-8      51.59970840657123
1.7647160442582766E-8     55.109346629769156
1.773128825751341E-8      58.618984852967074
1.7815416072444053E-8     62.128623076165
1.7899543887374696E-8     65.63826129936292
1.7983671702305343E-8     69.14789952256085
1.805982392403696E-8      74.26916606248365
1.8135976145768583E-8     79.39043260240645
1.8212128367500202E-8     84.51169914232926
1.8288280589231824E-8     89.63296568225208
1.8364432810963442E-8     94.75423222217488
1.8433365552012273E-8     102.4937556780392
1.8502298293061096E-8     110.23327913390351
1.857123103410993E-8      117.97280258976782
1.8640163775158753E-8     125.71232604563214
1.8709096516207583E-8     133.45184950149647
1.8771494207307272E-8     145.6852721938924
1.883389189840696E-8      157.91869488628834
1.8896289589506644E-8     170.15211757868428
1.8958687280606333E-8     182.38554027108023
1.9021084971706022E-8     194.61896296347615
1.9077567156551446E-8     215.14603454852173
1.9134049341396865E-8     235.67310613356725
1.9190531526242286E-8     256.20017771861285
1.9247013711087707E-8     276.72724930365837
1.930349589593313E-8      297.25432088870394
1.9354623384441523E-8     334.7777801831433
1.9405750872949914E-8     372.30123947758267
1.9456878361458308E-8     409.82469877202203
1.95080058499667E-8       447.34815806646145
1.9559133338475093E-8     484.8716173609008
1.9605413772971743E-8     561.284037230122
1.9651694207468397E-8     637.696457099343
1.9697974641965047E-8     714.1088769685639
1.9744255076461697E-8     790.5212968377851
1.9790535510958347E-8     866.933716707006
1.9832428408766678E-8     1053.525359113865
1.987432130657501E-8      1240.1170015207238
1.991621420438334E-8      1426.7086439275827
1.995810710219167E-8      1613.3002863344416
2.0E-8                    1799.8919287413005
0                         2.3620945741276707
4.189289780832979E-11     2.362204775107958
8.378579561665958E-11     2.362314976088245
1.2567869342498936E-10    2.3624251770685327
1.6757159123331916E-10    2.3625353780488196
2.0946448904164892E-10    2.3626455790291074
2.5574492353830083E-10    2.362954851742928
3.020253580349527E-10     2.363264124456749
3.483057925316046E-10     2.36357339717057
3.945862270282565E-10     2.3638826698843904
4.4086666152490835E-10    2.364191942598211
4.919941500333006E-10     2.3647754627724167
5.431216385416927E-10     2.3653589829466215
5.942491270500851E-10     2.365942503120827
6.453766155584772E-10     2.366526023295032
6.965041040668695E-10     2.3671095434692377
7.529862889122908E-10     2.368057706804441
8.094684737577123E-10     2.369005870139645
8.659506586031335E-10     2.3699540334748486
9.22432843448555E-10      2.3709021968100523
9.789150282939763E-10     2.3718503601452556
1.0413127193936645E-9     2.373269380314594
1.1037104104933525E-9     2.3746884004839326
1.1661081015930407E-9     2.3761074206532706
1.228505792692729E-9      2.3775264408226087
1.290903483792417E-9      2.3789454609919467
1.3598362248412454E-9     2.380971454075431
1.4287689658900735E-9     2.3829974471589157
1.4977017069389018E-9     2.3850234402423998
1.5666344479877299E-9     2.3870494333258843
1.6355671890365582E-9     2.3890754264093683
1.7117194107681762E-9     2.3918797417319126
1.7878716324997942E-9     2.394684057054457
1.864023854231412E-9      2.3974883723770004
1.94017607596303E-9       2.4002926876995456
2.016328297694648E-9      2.4030970030220895
2.1004561126252937E-9     2.4069003098367494
2.184583927555939E-9      2.4107036166514084
2.268711742486584E-9      2.4145069234660683
2.3528395574172295E-9     2.418310230280727
2.4369673723478746E-9     2.422113537095387
2.529906082027975E-9      2.4271991258780403
2.622844791708075E-9      2.4322847146606934
2.715783501388175E-9      2.4373703034433465
2.808722211068275E-9      2.4424558922259996
2.901660920748375E-9      2.447541481008653
3.004333310003815E-9      2.4542754219726945
3.107005699259255E-9      2.4610093629367364
3.209678088514695E-9      2.467743303900778
3.3123504777701346E-9     2.4744772448648193
3.4150228670255746E-9     2.4812111858288617
3.5284483659646214E-9     2.4900728116912374
3.641873864903668E-9      2.498934437553613
3.755299363842715E-9      2.507796063415989
3.868724862781761E-9      2.5166576892783645
3.982150361720808E-9      2.5255193151407402
4.107455167620838E-9      2.537145229686029
4.2327599735208685E-9     2.548771144231318
4.358064779420899E-9      2.5603970587766063
4.48336958532093E-9       2.5720229733218956
4.60867439122096E-9       2.583648887867184
4.74710265076309E-9       2.598900832350898
4.885530910305219E-9      2.614152776834612
5.023959169847349E-9      2.6294047213183256
5.162387429389479E-9      2.6446566658020396
5.3008156889316085E-9     2.6599086102857536
5.453741850582991E-9      2.679974815761067
5.606668012234374E-9      2.7000410212363817
5.7595941738857555E-9     2.7201072267116957
5.912520335537139E-9      2.7401734321870097
6.065446497188521E-9      2.7602396376623237
